trip_id,season,daylight,duration_min,outside_temp_c,capacity,passenger_count,occupancy_pct,lighting_kWh_fixed,vent_kWh_fixed,hvac_kWh_fixed,total_aux_kWh_fixed,lighting_kWh_sensor,vent_kWh_sensor,hvac_kWh_sensor,total_aux_kWh_sensor,pct_savings
T00001,summer,1,31,19.55,200,121,60.5,1.808,1.55,0.459,3.818,1.457,1.558,1.415,4.429,-16.02
T00002,autumn,0,35,18.7,200,20,10.0,3.5,1.75,0.583,5.833,0.933,0.875,0.591,2.399,58.87
T00003,spring,0,39,12.53,200,11,5.5,3.9,1.95,1.171,7.021,0.923,0.887,0.995,2.805,60.05
T00004,summer,1,43,17.28,200,121,60.5,2.508,2.15,0.848,5.507,2.021,2.161,2.141,6.323,-14.82
T00005,summer,1,12,22.82,200,89,44.5,0.7,0.6,0.187,1.487,0.436,0.507,0.441,1.384,6.99
T00006,winter,0,36,4.25,200,0,0.0,3.6,1.8,1.726,7.126,0.72,0.72,1.345,2.785,60.91
T00007,autumn,0,36,4.35,200,20,10.0,3.6,1.8,1.719,7.119,0.96,0.9,1.555,3.415,52.03
T00008,winter,1,25,9.24,200,61,30.5,1.458,1.25,0.928,3.637,0.675,0.881,1.163,2.719,25.23
T00009,winter,1,27,4.55,200,93,46.5,1.575,1.35,1.277,4.202,1.017,1.168,1.747,3.932,6.42
T00010,summer,1,20,24.38,200,57,28.5,1.167,1.0,0.38,2.546,0.513,0.685,0.599,1.798,29.41
T00011,winter,0,36,2.43,200,70,35.0,3.6,1.8,2.055,7.455,1.56,1.35,2.332,5.242,29.68
T00012,summer,1,20,24.37,200,110,55.0,1.167,1.0,0.379,2.546,0.867,0.95,0.917,2.734,-7.36
T00013,winter,1,34,7.67,200,197,98.5,1.983,1.7,1.379,5.062,2.459,2.355,3.067,7.881,-55.69
T00014,summer,1,37,21.68,200,32,16.0,2.158,1.85,0.486,4.495,0.74,1.036,0.648,2.424,46.07
T00015,spring,1,32,16.49,200,185,92.5,1.867,1.6,0.686,4.152,2.187,2.12,2.254,6.56,-57.99
T00016,winter,0,25,7.59,200,0,0.0,2.5,1.25,1.018,4.768,0.5,0.5,0.781,1.781,62.64
T00017,summer,1,50,27.45,200,78,39.0,2.917,2.5,1.282,6.698,1.633,1.975,2.094,5.703,14.87
T00018,summer,0,31,31.62,200,21,10.5,3.1,1.55,1.182,5.832,0.837,0.783,1.056,2.675,54.13
T00019,summer,0,33,23.01,200,7,3.5,3.3,1.65,0.529,5.479,0.737,0.718,0.411,1.866,65.94
T00020,spring,0,29,17.83,200,43,21.5,2.9,1.45,0.537,4.887,0.996,0.892,0.736,2.623,46.32
T00021,autumn,1,30,17.26,200,89,44.5,1.75,1.5,0.593,3.843,1.09,1.268,1.207,3.564,7.26
T00022,winter,1,19,6.39,200,30,15.0,1.108,0.95,0.823,2.882,0.38,0.522,0.807,1.709,40.69
T00023,autumn,0,24,12.82,200,74,37.0,2.4,1.2,0.705,4.305,1.072,0.924,1.053,3.049,29.19
T00024,spring,1,27,13.03,200,107,53.5,1.575,1.35,0.781,3.706,1.143,1.262,1.441,3.847,-3.78
T00025,summer,1,43,26.6,200,53,26.5,2.508,2.15,1.023,5.682,1.046,1.43,1.412,3.888,31.57
T00026,winter,0,35,0.78,200,150,75.0,3.5,1.75,2.136,7.386,2.45,2.013,3.261,7.723,-4.57
T00027,spring,0,37,12.45,200,18,9.0,3.7,1.85,1.117,6.667,0.962,0.906,1.027,2.895,56.58
T00028,summer,1,11,18.34,200,37,18.5,0.642,0.55,0.192,1.383,0.22,0.322,0.249,0.791,42.84
T00029,spring,0,14,15.78,200,13,6.5,1.4,0.7,0.322,2.422,0.341,0.326,0.282,0.948,60.85
T00030,spring,0,36,4.32,200,54,27.0,3.6,1.8,1.721,7.121,1.368,1.206,1.924,4.498,36.83
T00031,autumn,0,31,11.2,200,10,5.0,3.1,1.55,1.02,5.67,0.723,0.698,0.857,2.277,59.83
